,Name &postal abbreviation[1],Cities,Established[upper-alpha 1],Population[upper-alpha 2][3],Total area[4],Land area[4],Water area[4],Numberof Reps.,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Capital,Largest[5],mi2,km2,mi2,km2,mi2,km2,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
0,Alabama,AL,Montgomery,Birmingham,"Dec 14, 1819",4874747,52420,135767,50645,131171,1775,4597,7.0
1,Alaska,AK,Juneau,Anchorage,"Jan 3, 1959",739795,665384,1723337,570641,1477953,94743,245384,1.0
2,Arizona,AZ,Phoenix,"Feb 14, 1912",7016270,113990,295234,113594,294207,396,1026,9,
3,Arkansas,AR,Little Rock,"Jun 15, 1836",3004279,53179,137732,52035,134771,1143,2961,4,
4,California,CA,Sacramento,Los Angeles,"Sep 9, 1850",39536653,163695,423967,155779,403466,7916,20501,53.0
5,Colorado,CO,Denver,"Aug 1, 1876",5607154,104094,269601,103642,268431,452,1170,7,
6,Connecticut,CT,Hartford,Bridgeport,"Jan 9, 1788",3588184,5543,14357,4842,12542,701,1816,5.0
7,Delaware,DE,Dover,Wilmington,"Dec 7, 1787",961939,2489,6446,1949,5047,540,1399,1.0
8,Florida,FL,Tallahassee,Jacksonville,"Mar 3, 1845",20984400,65758,170312,53625,138887,12133,31424,27.0
9,Georgia,GA,Atlanta,"Jan 2, 1788",10429379,59425,153910,57513,148959,1912,4951,14,
10,Hawaii,HI,Honolulu,"Aug 21, 1959",1427538,10932,28313,6423,16635,4509,11678,2,
11,Idaho,ID,Boise,"Jul 3, 1890",1716943,83569,216443,82643,214045,926,2398,2,
12,Illinois,IL,Springfield,Chicago,"Dec 3, 1818",12802023,57914,149995,55519,143793,2395,6202,18.0
13,Indiana,IN,Indianapolis,"Dec 11, 1816",6666818,36420,94326,35826,92789,593,1537,9,
14,Iowa,IA,Des Moines,"Dec 28, 1846",3145711,56273,145746,55857,144669,416,1077,4,
15,Kansas,KS,Topeka,Wichita,"Jan 29, 1861",2913123,82278,213100,81759,211754,520,1346,4.0
16,Kentucky[upper-alpha 3],KY,Frankfort,Louisville,"Jun 1, 1792",4454189,40408,104656,39486,102269,921,2387,6.0
17,Louisiana,LA,Baton Rouge,New Orleans,"Apr 30, 1812",4684333,52378,135659,43204,111898,9174,23761,6.0
18,Maine,ME,Augusta,Portland,"Mar 15, 1820",1335907,35380,91633,30843,79883,4537,11750,2.0
19,Maryland,MD,Annapolis,Baltimore,"Apr 28, 1788",6052177,12406,32131,9707,25142,2699,6990,8.0
20,Massachusetts[upper-alpha 3],MA,Boston,"Feb 6, 1788",6859819,10554,27336,7800,20202,2754,7134,9,
21,Michigan,MI,Lansing,Detroit,"Jan 26, 1837",9962311,96714,250487,56539,146435,40175,104052,14.0
22,Minnesota,MN,St. Paul,Minneapolis,"May 11, 1858",5576606,86936,225163,79627,206232,7309,18930,8.0
23,Mississippi,MS,Jackson,"Dec 10, 1817",2984100,48432,125438,46923,121531,1508,3907,4,
24,Missouri,MO,Jefferson City,Kansas City,"Aug 10, 1821",6113532,69707,180540,68742,178040,965,2501,8.0
25,Montana,MT,Helena,Billings,"Nov 8, 1889",1050493,147040,380831,145546,376962,1494,3869,1.0
26,Nebraska,NE,Lincoln,Omaha,"Mar 1, 1867",1920076,77348,200330,76824,198974,524,1356,3.0
27,Nevada,NV,Carson City,Las Vegas,"Oct 31, 1864",2998039,110572,286380,109781,284332,791,2048,4.0
28,New Hampshire,NH,Concord,Manchester,"Jun 21, 1788",1342795,9349,24214,8953,23187,397,1027,2.0
29,New Jersey,NJ,Trenton,Newark,"Dec 18, 1787",9005644,8723,22591,7354,19047,1368,3544,12.0
30,New Mexico,NM,Santa Fe,Albuquerque,"Jan 6, 1912",2088070,121590,314917,121298,314161,292,757,3.0
31,New York,NY,Albany,New York,"Jul 26, 1788",19849399,54555,141297,47126,122057,7429,19240,27.0
32,North Carolina,NC,Raleigh,Charlotte,"Nov 21, 1789",10273419,53819,139391,48618,125920,5201,13471,13.0
33,North Dakota,ND,Bismarck,Fargo,"Nov 2, 1889",755393,70698,183108,69001,178711,1698,4397,1.0
34,Ohio,OH,Columbus,"Mar 1, 1803",11658609,44826,116098,40861,105829,3965,10269,16,
35,Oklahoma,OK,Oklahoma City,"Nov 16, 1907",3930864,69899,181037,68595,177660,1304,3377,5,
36,Oregon,OR,Salem,Portland,"Feb 14, 1859",4142776,98379,254799,95988,248608,2391,6191,5.0
37,Pennsylvania[upper-alpha 3],PA,Harrisburg,Philadelphia,"Dec 12, 1787",12805537,46054,119280,44743,115883,1312,3397,18.0
38,Rhode Island[upper-alpha 4],RI,Providence,"May 29, 1790",1059639,1545,4001,1034,2678,511,1324,2,
39,South Carolina,SC,Columbia,Charleston,"May 23, 1788",5024369,32020,82933,30061,77857,1960,5076,7.0
40,South Dakota,SD,Pierre,Sioux Falls,"Nov 2, 1889",869666,77116,199729,75811,196350,1305,3379,1.0
41,Tennessee,TN,Nashville,"Jun 1, 1796",6715984,42144,109153,41235,106798,909,2355,9,
42,Texas,TX,Austin,Houston,"Dec 29, 1845",28304596,268596,695662,261232,676587,7365,19075,36.0
43,Utah,UT,Salt Lake City,"Jan 4, 1896",3101833,84897,219882,82170,212818,2727,7064,4,
44,Vermont,VT,Montpelier,Burlington,"Mar 4, 1791",623657,9616,24906,9217,23871,400,1035,1.0
45,Virginia[upper-alpha 3],VA,Richmond,Virginia Beach,"Jun 25, 1788",8470020,42775,110787,39490,102279,3285,8508,11.0
46,Washington,WA,Olympia,Seattle,"Nov 11, 1889",7405743,71298,184661,66456,172119,4842,12542,10.0
47,West Virginia,WV,Charleston,"Jun 20, 1863",1815857,24230,62756,24038,62259,192,497,3,
48,Wisconsin,WI,Madison,Milwaukee,"May 29, 1848",5795483,65496,169635,54158,140268,11339,29367,8.0
49,Wyoming,WY,Cheyenne,"Jul 10, 1890",579315,97813,253335,97093,251470,720,1864,1,
